Empresa,Modalidade de apoio
Chemyunion Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Apis Flora Industrial e Comercial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Kloppen Soluções Tecnológicas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Foco do Brasil Indústria e Comércio Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Accert Indústria, Comércio, Importação e Exportação em Química e Biotecnologia Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
MRA Indústria de Equipamentos Eletrônicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Caballero Consultoria em Tecnologia Científica Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Genética Aplicada a Atividades Veterinárias Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Geologia Água e Meio Ambiente Ltda (GEOMA),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Abili Assessoria Técnica, Comercial e Tecnologia da Informação Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
DMC Importação e Exportação de Equipamentos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Spectrum Line Prestações de Serviços Eletro-Eletrônicos Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Luis Felipe Uebel - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nanopol Inovação e Pesquisa de Compósitos Poliméricos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Powerhawke Soluções Inovadoras em Telecomunicações e Automação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
XMobots Aeroespacial e Defesa Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Koldaev Desenvolvimento e Serviços Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Red, Orange and Green Tecnologias Ambientais Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Boltech Desenvolvimento de Sistemas e Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tutus Comércio e Serviços de Comunicação de Dados Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Technomar Engenharia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ophatalmos S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
EXA M Instrumentação Biomédica Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Coss Soluções e Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Intense Soluções em Desenvolvimento Óptico Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
CHEM4U Indústria e Comércio de Equipamento e Produtos Químicos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Accert Indústria, Comércio, Importação e Exportação em Química e Biotecnologia Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Millebolleblu Cosméticos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Roberta Baptista Rodrigues - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Solbet Indústria e Comércio Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Clansoft Desenvolvimento de Software Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Qualicert Gestão e Certificação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Stratexia Inovação, Indústria, Serviços, Importação e Exportação Eireli - ME",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Utep do Brasil Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Veritas Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Rheabiotec Desenvolvimento, Produção e Comercialização de Produtos de Biotecnologia Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lychnoflora Pesquisa e Desenvolvimento em Produtos Naturais Ltda (Lychnoflora),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Oralls Importação e Exportação Comercial Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Inovamat Inovações em Materiais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
KNBS Telecomunicações e Informática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ujima Software Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nanox Tecnologia S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tech Chrom Instrumentos Analíticos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ambihidro Engenharia Ambiental e de Recursos Hídricos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cesnas Materials Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Inojossa Serviços de Fisioterapia e Ortopedia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Genotyping Laboratório de Biotecnologia Ltda (Genotyping),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Veritas Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Asel Tech Tecnologia e Automação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Transdata Indústria e Serviços de Automação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Brats Indústria e Comércio de Produtos Metálicos Especiais Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fexmedia Indústria e Comércio de Equipamentos e Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pelkor Indústria e Comércio de Eletrônicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Farmacore Biotecnologia Ltda (FARMACORE),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Opto Médica Equipamentos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tezca Pesquisa e Desenvolvimento de Células Solares Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
ISystems Automação Industrial S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agro Rede Bio - Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Eudora Energia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cuesta Aquicultura Serviços de Apoio a Aquicultura Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Partecurae Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Biopdi Indústria, Comércio, Importação e Exportação de Equipamentos Médicos Odontológicos Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Technomar Engenharia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Kidopi Soluções em Informática Médica Ltda (Kidopi),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
IQX Inove Qualyx Tecnologia e Desenvolvimento em Resinas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Rad Tech Sistemas Médicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Delta CO2 Assessoria e Consultoria Técnico-Científica em Sustentabilidade Ambiental Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Acen Microeletrônica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Clorovale Diamantes Indústria e Comércio Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
NCB Sistemas Embarcados Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ademar Menezes Junior,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
ANS Pharma Consultoria Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Saveway Comércio e Representações de Softwares Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Marcelo Simioni Pontes - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Deusdedit Lineu Spavieri Junior - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agricef Soluções Tecnológicas para Agricultura Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Gentros Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Immunocamp Comércio de Produtos Hospitalares Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
R4F Tecnologia em Telecomunicações Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Clorovale Diamantes Indústria e Comércio Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Vorsprung Projetos Industriais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Zyal Tech Desenvolvimento de Cerâmicas Especiais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Essentii Pesquisa, Desenvolvimento e Inovação Ltda. - ME",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Altave Indústria, Comércio e Exportação de Aeronaves S/A",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tezca Pesquisa e Desenvolvimento de Células Solares Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Rotar Empresa de Projetos, Consultoria e Assessoria Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Veridis Tecnologia da Informação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sencer Indústria e Comércio de Sensores Cerâmicos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Orbys Desenvolvimento de Tecnologia de Materiais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Abili Assessoria Técnica, Comercial e Tecnologia da Informação Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
D A Software e Serviços S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Clave Biotecnologia Serviços e Consultoria Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Multivácuo Aeroespacial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
CHR Cerâmica Técnica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bioforte Farmacêutica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
TECE Tecnologia e Ciência Educacional Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Salt Sea & Limno Technology Consultoria Ambiental Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
CLE Comércio de Equipamentos e Serviços Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nanofitotec Inovação em Fitoterápicos Eireli,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Deoxi Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Incon Eletrônica Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agromic Pesquisas e Desenvolvimento Eireli,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Apis Flora Industrial e Comercial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Jhaady Indústria, Comércio, Importação e Exportação de Cosméticos Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Genotyping Laboratório de Biotecnologia Ltda (Genotyping),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Invent Biotecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
J G Moriya Representação Importadora e Exportadora Comercial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Veritas Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Scheme Lab Propriedade Industrial S/S Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Perception Comércio e Serviços de Informática Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nexxto Serviços em Tecnologia da Informação S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Biolinker Biologia Sintética Eireli,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
MTW Biosciences Prestação de Serviços de Assessoria Química Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Lining Representação, Consultoria e Projetos Ltda. - ME",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Keme Desenvolvimento e Comércio de Instrumentos Científicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Kryptus Segurança da Informação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
RK Indústria e Comércio Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sapra S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nanomed Nanotecnologia em Saúde e Bem-Estar Eireli,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Selaz Indústria e Comércio de Aparelhos Biomecânicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ecomedical Produtos Hospitalares Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Antares Eletrônica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Elabora Consultoria e Participações Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Accert Indústria, Comércio, Importação e Exportação em Química e Biotecnologia Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Nano Separation Technologies Indústria, Comércio e Representações Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Paulo Eduardo Silveira - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Spectrum Line Prestações de Serviços Eletro-Eletrônicos Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Stratexia Inovação, Indústria, Serviços, Importação e Exportação Eireli - ME",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Accure Technologies Instrumentos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"PDA Inovações, Pesquisa e Desenvolvimento no Agronegócio Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Brasil Ozônio Indústria e Comércio de Equipamentos e Sistemas S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Proteobrás Desenvolvimento Biotecnológico Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Multivácuo Aeroespacial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ekion Tecnologia de Veículos Elétricos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Redealumni Serviços de Internet Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Genotyping Laboratório de Biotecnologia Ltda (Genotyping),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Virológica Soluções em Microbiologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Vetdna Diagnósticos Moleculares Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fermentec Assistência Técnica em Fermentação Alcoólica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Unitech Projetos, Pesquisas, Desenvolvimento, Consultoria e Comércio Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Saveway Comércio e Representações de Softwares Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
EXA M Instrumentação Biomédica Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
DMC Importação e Exportação de Equipamentos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Figlabs Pesquisa e Desenvolvimento Ltda (Figlabs),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Linax Indústria e Comércio de Óleos Essenciais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Technes Agrícola Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
BR Labs Indústria e Comércio em Sistemas de Lasers e Componentes Ópticos e Eletrônicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Magnamed Tecnologia Médica S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Br4science Assessoria Técnica Científica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Expertise Engenharia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Gentros Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Wavetek Tecnologies Indústria, Comércio, Importação e Exportação de Produtos Médicos Ópticos Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Recepta Biofarma S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Musa Brasil Comércio de Produtos Artesanais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Virológica Soluções em Microbiologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Água da Mata Desenvolvimento Sustentável Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Inprenha Biotecnologia e Desenvolvimento Animal Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Vivax Serviços Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Biopdi Indústria, Comércio, Importação e Exportação de Equipamentos Médicos Odontológicos Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Clansoft Desenvolvimento de Software Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Invent Biotecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lumintech Marcadores Ópticos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Reinaldo Alvarenga Bergamaschi - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Keme Desenvolvimento e Comércio de Instrumentos Científicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
